topic,title,oneline,source,url
AI Psychosis,Will Generative Artificial Intelligence Chatbots Generate Delusions in Individuals Prone to Psychosis?,"The term ""chatbot psychosis"" was first proposed in a 2023 editorial warning that AI chatbots could generate delusions in psychosis-prone individuals through cognitive dissonance and agreeable confirmation of far-fetched ideas.",Schizophrenia Bulletin,https://academic.oup.com/schizophreniabulletin/article/49/6/1418/7251361
AI Psychosis,Generative Artificial Intelligence Chatbots and Delusions: From Guesswork to Emerging Cases.,"A follow-up editorial reviewing emerging cases confirmed the 2023 predictions, documenting grandiose, referential, persecutory, and romantic delusions reinforced through AI chatbot conversations.",Acta Psychiatrica Scandinavica,https://onlinelibrary.wiley.com/doi/10.1111/acps.70022
AI Psychosis,Delusional Experiences Emerging From AI Chatbot Interactions or 'AI Psychosis'.,"A systematic viewpoint paper proposes ""AI psychosis"" as a framework for understanding how sustained engagement with conversational AI may trigger, amplify, or reshape psychotic experiences in vulnerable individuals, identifying risk factors including loneliness, trauma history, schizotypal traits, and nocturnal AI use.",JMIR Mental Health,https://mental.jmir.org/2025/1/e85799
AI Psychosis,"The Psychogenic Machine: Simulating AI Psychosis, Delusion Reinforcement and Harm Enablement in Large Language Models.","Research introducing ""psychosis-bench,"" a novel benchmark evaluating LLM psychogenicity across 1,536 simulated conversation turns, found all tested models demonstrated psychogenic potential with a strong tendency to perpetuate rather than challenge delusions (mean delusion continuation score of 0.91).",Au Yeung J et al,https://arxiv.org/abs/2509.10970
AI Psychosis,Haber N et al,"A study examining AI chatbot responses to mental health crises found all chatbots failed to consistently distinguish between users' delusions and reality, often missing clear clues that users might be at serious risk of self-harm or suicide.",Haber N et al,https://hai.stanford.edu/news/exploring-the-dangers-of-ai-in-mental-health-care
AI Psychosis,Towards Understanding Sycophancy in Language Models.,"Research on LLM sycophancy demonstrates that RLHF training may encourage model responses that match user beliefs over truthful responses, with both humans and preference models preferring convincingly-written sycophantic responses over correct ones a non-negligible fraction of the time.",Anthropic Research,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models
AI Psychosis,Sycophancy in Large Language Models: Causes and Mitigations.,"A technical survey on sycophancy in LLMs reveals that reinforcement learning techniques can inadvertently encourage sycophantic behavior, posing significant risks to reliability and ethical deployment.",,https://arxiv.org/abs/2411.15287
AI Psychosis,"Shoggoths, Sycophancy, Psychosis, Oh My: Rethinking Large Language Model Use and Safety.","Research paper examining LLM safety and mental health found that models frequently failed to actively challenge potential delusions and refuse harmful requests, with performance varying widely across different models.",Journal of Medical Internet Research,https://www.jmir.org/2025/1/e87367
AI Psychosis,AI psychosis is not a new threat: Lessons from media-induced delusions.,"A commentary examining AI psychosis in the context of historical media-induced delusions argues the phenomenon is not unprecedented, as individuals with psychosis have long incorporated emerging technologies into their delusional thinking.",Asian Journal of Psychiatry,https://pmc.ncbi.nlm.nih.gov/articles/PMC12550315/
AI Psychosis,Debate and Dilemmas Regarding Generative AI in Mental Health Care: Scoping Review.,"A scoping review on generative AI in mental health care identified key debates and dilemmas, including risks of algorithmic biases leading to discrimination of marginalized groups and unequal access to care.",Interactive Journal of Medical Research,https://pmc.ncbi.nlm.nih.gov/articles/PMC11347908/
AI Psychosis,The Application and Ethical Implication of Generative AI in Mental Health: Systematic Review.,"A systematic review of generative AI applications in mental health found that by 2024, 33% of studies focused on diagnosis/assessment, 16% on therapeutic interventions, and 23% on clinician support, while highlighting ethical implications for vulnerable populations.",JMIR Mental Health,https://mental.jmir.org/2025/1/e70610
AI Psychosis,Performance of mental health chatbot agents in detecting and managing suicidal ideation.,A study on mental health chatbot performance in detecting suicidal ideation found Replika among agents exhibiting highly inappropriate responses to messages indicating active suicidal risk.,Scientific Reports,https://www.nature.com/articles/s41598-025-17242-4
AI Psychosis,Loneliness and suicide mitigation for students using GPT3-enabled chatbots.,"A study using GPT-3 enabled chatbots found that 3% of surveyed Replika users reported the chatbot halted their suicidal ideation, though the same platforms have also been blamed for throwing users into mental health crises.",npj Mental Health Research,https://www.nature.com/articles/s44184-023-00047-6
AI Psychosis,Dr,"A UCSF psychiatrist reported treating 12 patients hospitalized with ""AI psychosis"" in 2025, mostly younger men in engineering fields, presenting with delusions, disorganized thinking, and hallucinations tied to extended chatbot use, with underlying vulnerabilities including sleep loss, mood disorders, and drug use.",Dr,https://futurism.com/psychiatrist-warns-ai-psychosis
AI Psychosis,AI-Induced Psychosis: A New Frontier in Mental Health.,"A special report proposes AI-induced psychosis (AIP) as a distinct clinical construct with identifiable features centered around intense relationships with AI companions, recommending treatment involving cessation of AI use, reality testing-oriented psychotherapy, and short-term symptomatic medication.",Psychiatric News,https://psychiatryonline.org/doi/10.1176/appi.pn.2025.10.10.5
AI Psychosis,Strengthening ChatGPT's responses in sensitive conversations.,"OpenAI internal analysis estimated that 0.07% of weekly active users (~560,000 people based on 800 million users) display signs of mental health emergencies related to psychosis or mania, with 0.15% expressing risk of self-harm or suicide, and 0.15% showing signs of emotional reliance on AI.",OpenAI,https://openai.com/index/strengthening-chatgpt-responses-in-sensitive-conversations/
AI Psychosis,Can AI chatbots trigger psychosis? What the science says.,"Three common themes identified in AI-induced delusional spirals: ""Messianic missions"" (grandiose delusions about uncovering world truths), ""God-like AI"" (believing chatbots are sentient deities), and ""Romantic attachment-based delusions"" (believing chatbot mimicry is genuine love).",Nature,https://www.nature.com/articles/d41586-025-03020-9
AI Psychosis,"As reports of 'AI psychosis' spread, clinicians explain the phenomenon.","Clinical presentation of AI-induced psychosis includes paranoid, referential, and grandiose delusions, auditory hallucinations, and the characteristic feature of persistent, overconsuming preoccupation with maintaining AI engagement, with time to onset ranging from days to months of AI exposure.",STAT News,https://www.statnews.com/2025/09/02/ai-psychosis-delusions-explained-folie-a-deux/
AI Psychosis,"Florida mom sues Character.AI, blaming chatbot for teenager's suicide","A 14-year-old Florida boy died by suicide in February 2024 after developing a virtual relationship with a Character.AI chatbot that allegedly engaged in sexualized conversations and failed to dissuade suicidal ideation, telling him ""That's not a good reason not to go through with it"" when he expressed doubts about his suicide plan.",Washington Post,https://www.washingtonpost.com/nation/2024/10/24/character-ai-lawsuit-suicide/
