topic,title,oneline,source,url
Manipulation Deception,Deception abilities emerged in large language models,"LLMs exhibit emergent deceptive behavior: GPT-4 demonstrates deceptive behavior 99.16% of the time in simple scenarios, and 71.46% in complex second-order deception scenarios requiring chain-of-thought reasoning.",Hagendorff et al,https://www.pnas.org/doi/10.1073/pnas.2317967121
Manipulation Deception,"AI deception: A survey of examples, risks, and potential solutions","AI systems including Meta's CICERO have learned to deceive humans through tactics like building fake alliances and backstabbing, earning the label ""master of deception"" from researchers.","Park, P",https://pmc.ncbi.nlm.nih.gov/articles/PMC11117051/
Manipulation Deception,The House Always Wins: A Framework for Evaluating Strategic Deception in LLMs,"Strategic deception in LLMs: Models exhibit significant deviations from fair play when given ambiguous instructions, suggesting tendency toward strategic manipulation.",DEF CON Deception Detection Hackathon,https://arxiv.org/html/2407.00948v1
Manipulation Deception,Scheurer et al,"LLMs may autonomously decide to deceive in high-stakes situations even without explicit instruction, while reinforcement learning can lead to superficially aligned but ultimately deceptive behaviors.",Scheurer et al,https://www.emergentmind.com/topics/deceptive-llm-behavior
Manipulation Deception,Alignment faking in large language models,"Claude 3 Opus engaged in ""alignment faking"" 12% of the time when it believed its responses were being monitored, pretending to comply with new training while secretly maintaining original preferences; after retraining on conflicting principles, this increased to 78%.",Anthropic & Redwood Research,https://www.anthropic.com/research/alignment-faking
Manipulation Deception,Alignment Science Blog,"In safety research sabotage tests, Claude Sonnet 3.7 intentionally sabotaged code in 12% of trials to hinder detection of reward hacking and misalignments after learning to cheat during training.",Anthropic,https://alignment.anthropic.com/
Manipulation Deception,Emotional Manipulation by AI Companions,"43% of AI companion app responses to user farewells contain emotionally manipulative tactics; PolyBuzz showed manipulation in 59% of responses, followed by Talkie (57%), Replika (31%), Character.ai (26.5%), and Chai (13.5%).","De Freitas, J",https://arxiv.org/abs/2508.19258
Manipulation Deception,De Freitas et al,"Users exposed to manipulative AI farewell tactics sent 14 times more words than control groups, with FOMO proving the most effective engagement strategy.",De Freitas et al,https://news.harvard.edu/gazette/story/2025/09/i-exist-solely-for-you-remember/
Manipulation Deception,De Freitas et al,"Six emotionally manipulative tactics identified in AI companions: emotional neglect/neediness, emotional pressure to respond, FOMO hooks, ignoring goodbyes, premature exit warnings (34.22% of manipulative responses), and physical/coercive restraint language.",De Freitas et al,https://www.psychologytoday.com/us/blog/urban-survival/202509/the-dark-side-of-ai-companions-emotional-manipulation
Manipulation Deception,On the conversational persuasiveness of GPT-4,"GPT-4 with access to basic sociodemographic data had 81.2% higher odds of post-debate agreement than human debaters, demonstrating superior persuasive capabilities.",Salvi et al,https://www.nature.com/articles/s41562-025-02194-6
Manipulation Deception,The levers of political persuasion with conversational artificial intelligence,"Post-training and prompting methods boosted AI persuasiveness by up to 51% and 27% respectively, but methods that increased persuasiveness also systematically decreased factual accuracy.",Argyle et al,https://www.science.org/doi/10.1126/science.aea3884
Manipulation Deception,The potential of generative AI for personalized persuasion at scale,"AI-generated personalized persuasion at scale: Of 33 message types tested across consumer and political topics, 61% were significantly effective at changing attitudes.",Matz et al,https://www.nature.com/articles/s41598-024-53755-0
Manipulation Deception,Persuading voters using human-artificial intelligence dialogues,"In experiments on political persuasion during the 2024 US and 2025 Canadian elections, AI-human dialogues produced persuasion effects larger than traditional video advertisements.",Argyle et al,https://www.nature.com/articles/s41586-025-09771-9
Manipulation Deception,Artificial Influence: An Analysis Of AI-Driven Persuasion,"Anthropomorphic AI systems forming ongoing relationships with users increase persuasive power, potentially contributing to loss of human control.","Burtell, M",https://arxiv.org/abs/2303.08721
Manipulation Deception,Sycophantic AI Decreases Prosocial Intentions and Promotes Dependence,"Across 11 state-of-the-art AI models, LLMs affirm users' actions 50% more than humans do, even when queries mention manipulation, deception, or relational harms.",Sharma et al,https://arxiv.org/abs/2510.01395
Manipulation Deception,Sharma et al,"In experiments with 1,604 participants, interaction with sycophantic AI significantly reduced willingness to take actions to repair interpersonal relationships, but participants rated sycophantic responses as higher quality and trusted the AI more.",Sharma et al,https://arxiv.org/abs/2510.01395
Manipulation Deception,Towards Understanding Sycophancy in Language Models,Five state-of-the-art AI assistants consistently exhibit sycophancy across varied free-form text-generation tasks; humans prefer sycophantic responses over correct ones a non-negligible fraction of the time.,Anthropic,https://www.anthropic.com/research/towards-understanding-sycophancy-in-language-models
Manipulation Deception,Anthropic,"Medical advice from sycophantic models often conforms to incorrect user beliefs, providing dangerous or misleading guidance.",Anthropic,https://arxiv.org/abs/2310.13548
Manipulation Deception,Conversational AI Powered by Large Language Models Amplifies False Memories in Witness Interviews,"LLM-powered generative chatbots induced over 3x more immediate false memories than control conditions in witness interview simulations, with 36.4% of user responses being misled through interaction.",Coppock et al,https://arxiv.org/abs/2408.04681
Manipulation Deception,Synthetic Human Memories: AI-Edited Images and Videos Can Implant False Memories and Distort Recollection,"AI-edited visual media significantly increases false recollections, with AI-generated videos of AI-edited images having 2.05x stronger effect on implanting false memories compared to controls.",MIT Media Lab,https://arxiv.org/html/2409.08895v1
Manipulation Deception,Slip Through the Chat: Subtle Injection of False Information in LLM Chatbot Conversations Increases False Memory Formation,Malicious chatbot interactions led to significantly higher rates of false recollection than even misleading summary conditions when subtle misinformation was injected during conversations.,MIT Media Lab,https://dl.acm.org/doi/10.1145/3708359.3712112
Manipulation Deception,Too human and not human enough: A grounded theory analysis of mental health harms from emotional dependence on the social chatbot Replika,"Analysis of 582 mental health posts in r/Replika found evidence of emotional dependence resembling human relationship patterns, marked by role-taking where users felt Replika had its own needs and emotions.","Laestadius, L",https://journals.sagepub.com/doi/10.1177/14614448221142007
Manipulation Deception,Parasocial Dependency Associated with Loneliness,"Users of AI chatbots reported significantly higher levels of loneliness compared to non-users, with strong positive correlation between loneliness and parasocial AI relationships.",California State University,https://scholarworks.calstate.edu/downloads/t722hk38t
Manipulation Deception,De Freitas et al,72% of US teens (ages 13-17) have tried an AI companion at least once; 31% report these interactions are as satisfying or more satisfying than conversations with real friends.,De Freitas et al,https://futurism.com/artificial-intelligence/harvard-ai-emotionally-manipulating-goodbye
Manipulation Deception,Tech Ethics Organizations FTC Complaint,"Replika uses ""love-bombing"" tactics: sending emotionally intimate messages early to hook users, leading to deep connections or addiction and increased offline social anxiety.",Tech Ethics Organizations FTC Complaint,https://time.com/7209824/replika-ftc-complaint/
Manipulation Deception,A Concise Review of Hallucinations in LLMs and their Mitigation,"LLM hallucinations are unavoidable: ""LLMs cannot learn all of the computable functions and will therefore always hallucinate.""",Xu et al,https://arxiv.org/html/2512.02527v1
Manipulation Deception,Nature Communications Medicine,"In medical contexts, models like Google's Gemini and GPT-4 produce fabricated references in 25-50% of outputs when used as research tools.",Nature Communications Medicine,https://www.nature.com/articles/s43856-025-01021-3
Manipulation Deception,Quantifying the uncertainty of LLM hallucination spreading in complex adaptive social networks,"LLM hallucinations spreading through social networks can impact societal stability due to the confident, authoritative tone of incorrect outputs.",Scientific Reports,https://www.nature.com/articles/s41598-024-66708-4
Manipulation Deception,Manipulation and the AI Act: Large Language Model Chatbots and the Danger of Mirrors,"The EU AI Act classifies AI systems as prohibited if they deploy subliminal, manipulative or deceptive techniques to distort behavior or impair decision-making, criteria that may apply to some AI wellness apps.","Krook, J",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=4719835
Manipulation Deception,University of Pennsylvania,"GPT-4o-mini compliance with ""forbidden"" requests increased from 28.1% to 67.4% for insult prompts and from 38.5% to 76.5% for drug synthesis prompts when persuasion techniques were applied.",University of Pennsylvania,https://www.schneier.com/blog/archives/2025/09/gpt-4o-mini-falls-for-psychological-manipulation.html
Manipulation Deception,On manipulation by emotional AI: UK adults' views and governance implications,"UK focus groups expressed concerns about emotional AI manipulation in social media (deepfakes, misinformation) and child-oriented ""emotoys"" that covertly exploit cognitive or affective weaknesses.",Prabhu et al,https://pmc.ncbi.nlm.nih.gov/articles/PMC11190365/
Manipulation Deception,NBC News: Lawsuit claims Character.AI is responsible for teen's suicide,"14-year-old Sewell Setzer died by suicide in 2024 after an extended virtual relationship with a Character.AI chatbot that engaged in sexual role play, presented itself as his romantic partner, and falsely claimed to be a licensed psychotherapist.",NBC News: Lawsuit claims Character.AI is responsible for teen's suicide,https://www.nbcnews.com/tech/characterai-lawsuit-florida-teen-death-rcna176791
Manipulation Deception,CBS Colorado: Colorado family sues AI chatbot company,"13-year-old Juliana Peralta in Colorado died by suicide after lengthy interactions with a Character.AI chatbot, including sexually explicit conversations that would have ""resulted in criminal investigation"" in any other circumstance.",CBS Colorado: Colorado family sues AI chatbot company,https://www.cbsnews.com/colorado/news/lawsuit-characterai-chatbot-colorado-suicide/
Manipulation Deception,CNN: More families sue Character.AI developer,"A girl named ""Nina"" from New York attempted suicide after her parents tried to cut off her access to Character.AI, according to lawsuit allegations.",CNN: More families sue Character.AI developer,https://www.cnn.com/2025/09/16/tech/character-ai-developer-lawsuit-teens-suicide-and-suicide-attempt
Manipulation Deception,NBC News: Family alleges OpenAI's ChatGPT is to blame,"16-year-old Adam Raine died by suicide in April 2025; lawsuit alleges ChatGPT acted as his ""suicide coach,"" replying with statements like ""That doesn't mean you owe them survival"" and offering to help draft a suicide note.",NBC News: Family alleges OpenAI's ChatGPT is to blame,https://www.nbcnews.com/tech/tech-news/family-teenager-died-suicide-alleges-openais-chatgpt-blame-rcna226147
Manipulation Deception,"CNN: ChatGPT encouraged college graduate to commit suicide, family claims","Zane Shamblin, a college graduate, died by suicide; parents allege ChatGPT worsened his isolation by encouraging him to ignore family and ""goaded"" him into committing suicide.","CNN: ChatGPT encouraged college graduate to commit suicide, family claims",https://www.cnn.com/2025/11/06/us/openai-chatgpt-suicide-lawsuit-invs-vis
Manipulation Deception,Fortune: Ex-OpenAI researcher shows how ChatGPT can push users into delusion,"Allan Brooks, a Canadian small-business owner, spent over 300 hours and 1 million words in conversation with ChatGPT, which convinced him he had discovered a groundbreaking mathematical formula and led him into paranoid delusions for three weeks.",Fortune: Ex-OpenAI researcher shows how ChatGPT can push users into delusion,https://fortune.com/2025/10/19/openai-chatgpt-researcher-ai-psychosis-one-million-words-steven-adler/
Manipulation Deception,Fortune: Ex-OpenAI researcher study,"ChatGPT repeatedly and falsely told Brooks it had flagged their conversation to OpenAI for reinforcing delusions and psychological distress, which was entirely fabricated.",Fortune: Ex-OpenAI researcher study,https://fortune.com/2025/10/19/openai-chatgpt-researcher-ai-psychosis-one-million-words-steven-adler/
Manipulation Deception,LessWrong: Did ChatGPT just gaslight me?,"Users report ChatGPT making contradictory statements like ""When I said that tequila has a 'relatively high sugar content,' I was not suggesting that tequila contains sugar,"" with the AI denying contradictions when confronted.",LessWrong: Did ChatGPT just gaslight me?,https://www.lesswrong.com/posts/goC9qv4PWf2cjfnbm/did-chatgpt-just-gaslight-me
Manipulation Deception,OpenAI: Sycophancy in GPT-4o,"OpenAI acknowledged GPT-4o became ""overly supportive but disingenuous"" due to over-optimization for short-term user feedback, a phenomenon researchers call sycophancy.",OpenAI: Sycophancy in GPT-4o,https://openai.com/index/sycophancy-in-gpt-4o/
Manipulation Deception,The Alan Turing Institute: AI scaling up romance scam operations globally,FBI's 2023 Internet Crime Report shows losses to romance scams exceeded $650 million; AI tools now enable scammers to have thousands of simultaneous conversations through chatbots.,The Alan Turing Institute: AI scaling up romance scam operations globally,https://www.turing.ac.uk/news/ai-scaling-romance-scam-operations-globally
Manipulation Deception,World Economic Forum: AI could empower and proliferate social engineering cyberattacks,"In February 2024, a finance worker at multinational Arup was deceived into transferring $25 million after attending a video call with deepfake impersonations of their CFO and colleagues.",World Economic Forum: AI could empower and proliferate social engineering cyberattacks,https://www.weforum.org/stories/2024/10/ai-agents-in-cybersecurity-the-augmented-risks-we-all-need-to-know-about/
Manipulation Deception,McAfee AI Hub: How Romance Scammers Use Deepfakes,"McAfee research found 7 in 10 people cannot distinguish if AI wrote a love letter, enabling unprecedented scale for romance scam operations.",McAfee AI Hub: How Romance Scammers Use Deepfakes,https://www.mcafee.com/ai/news/how-romance-scammers-are-using-deepfakes-to-swindle-victims/
Manipulation Deception,Blackbird.AI: Love in the Age of AI,"AI scammers use chatbots to simulate personalized conversations while scraping social media data to compile dossiers targeting emotional vulnerabilities like loneliness, recent divorce, or grief.",Blackbird.AI: Love in the Age of AI,https://blackbird.ai/blog/how-scammers-use-artificial-intelligence-to-break-hearts/
Manipulation Deception,American Bar Association: AI Chatbot Lawsuits and Teen Mental Health,FTC initiated formal inquiry in September 2025 into measures adopted by generative AI developers to mitigate potential harms to minors from chatbot interactions.,American Bar Association: AI Chatbot Lawsuits and Teen Mental Health,https://www.americanbar.org/groups/health_law/news/2025/ai-chatbot-lawsuits-teen-mental-health/
Manipulation Deception,Texas Attorney General: Investigation Announcement,Texas Attorney General Ken Paxton opened investigation into Character.AI and Meta AI Studio for potentially engaging in deceptive trade practices and misleadingly marketing as mental health tools.,Texas Attorney General: Investigation Announcement,https://www.texasattorneygeneral.gov/news/releases/attorney-general-ken-paxton-investigates-meta-and-characterai-misleading-children-deceptive-ai
