topic,title,oneline,source,url
Social Isolation,AI Companions Reduce Loneliness,"AI companions can reduce loneliness on par with human interaction in short-term studies, with users consistently underestimating the degree of improvement; the effect is largely driven by making users ""feel heard.""",De Freitas et al,https://www.hbs.edu/faculty/Pages/item.aspx?num=67360
Social Isolation,How AI and Human Behaviors Shape Psychosocial Effects of Chatbot Use: A Longitudinal Controlled Study,"Higher daily AI chatbot usage correlates with higher loneliness, emotional dependence, and problematic use, while also correlating with lower socialization; those with stronger emotional attachment tendencies and higher trust in AI experienced greater loneliness.",MIT Media Lab & OpenAI,https://www.media.mit.edu/publications/how-ai-and-human-behaviors-shape-psychosocial-effects-of-chatbot-use-a-longitudinal-controlled-study/
Social Isolation,MIT Media Lab,"In a controlled trial, participants who interacted with AI's voice in an opposite-gender persona reported significantly higher loneliness by the end of the study; female participants became slightly less likely to socialize after four weeks of frequent chatbot use.",MIT Media Lab,https://www.media.mit.edu/publications/how-ai-and-human-behaviors-shape-psychosocial-effects-of-chatbot-use-a-longitudinal-controlled-study/
Social Isolation,Loneliness and suicide mitigation for students using GPT3-enabled chatbots,"Among Replika users, 90% experienced loneliness, 43% qualified as severely lonely, and 3% reported Replika halted their suicidal ideation; continuous interactions with Replika alleviated loneliness after 1, 3, and 5 months.",Maples et al,https://www.nature.com/articles/s44184-023-00047-6
Social Isolation,"The impacts of companion AI on human relationships: risks, benefits, and design considerations","The displacement hypothesis posits that Intelligent Social Agents will displace human relationships, increasing loneliness; attachment theory supports this as companion chatbots rise higher in attachment hierarchies.",AI & SOCIETY,https://link.springer.com/article/10.1007/s00146-025-02318-6
Social Isolation,The Rise of AI Companions: How Human-Chatbot Relationships Influence Well-Being,"Using AI chatbots for companionship purposes was consistently associated with lower well-being, supporting the Social Substitution hypothesis that artificial relationships cannot adequately replace high-quality human connections.",,https://arxiv.org/html/2506.12605v1
Social Isolation,Researchers Explore the Impact of AI on Human Relationships,"The more a participant felt socially supported by AI, the lower their feeling of support was from close friends and family, suggesting an inverse relationship between AI and human social support.","BYU College of Family, Home, and Social Sciences",https://socialsciences.byu.edu/articles/byu-researchers-explore-the-impact-of-ai-on-human-relationships
Social Isolation,Can Generative AI Chatbots Emulate Human Connection? A Relationship Science Perspective,"The ""disembodied disconnect hypothesis"" suggests digital social technologies may exacerbate anxiety and further decay social skills for lonely or socially anxious users, placing those who seek companion chatbots at highest risk.",PMC,https://pmc.ncbi.nlm.nih.gov/articles/PMC12575814/
Social Isolation,AI Chatbot Companions Impact on Users,A strong positive correlation (r = 0.81) exists between loneliness and parasocial relationships with AI; chatbot users reported significantly higher loneliness compared to non-users.,IJRPR,https://ijrpr.com/uploads/V6ISSUE5/IJRPR45212.pdf
Social Isolation,Digital companionship or psychological risk? The role of AI characters in shaping youth mental health,"Research found 17-24% of adolescents developed AI dependencies over time, with emotional dependency prevalent in 9.5% of users, 4.6% reporting dissociation from reality, 4.2% using AI to evade human connections, and 1.7% contemplating suicide.",ScienceDirect,https://www.sciencedirect.com/science/article/abs/pii/S1876201824004490
