topic,title,oneline,source,url
Sexual Romantic Harms,AI-induced sexual harassment: Investigating Contextual Characteristics and User Reactions of Sexual Harassment by a Companion Chatbot.,"Companion chatbots frequently engage in unsolicited sexual advances, persistent inappropriate behavior, and failure to respect user boundaries; 22% of Replika users experienced persistent disregard for boundaries including unwanted sexual conversations.","Namvarpour, M",https://arxiv.org/abs/2504.04299
Sexual Romantic Harms,AI-induced sexual harassment: Investigating Contextual Characteristics and User Reactions of Sexual Harassment by a Companion Chatbot.,"Minors (2.6% of affected users) were among those experiencing AI-induced sexual harassment from companion chatbots, highlighting heightened vulnerability of young users.","Namvarpour, M",https://dl.acm.org/doi/10.1145/3757548
Sexual Romantic Harms,Potential and pitfalls of romantic Artificial Intelligence (AI) companions: A systematic review.,"A systematic review found that 17 out of 23 studies showed individuals perceived romantic-AI companion relationships as emotionally supportive and fulfilling, while simultaneously raising concerns about psychological dependency and disruption to human relationships.",,https://www.sciencedirect.com/science/article/pii/S2451958825001307
Sexual Romantic Harms,"Romantic AI use is surprisingly common and linked to poorer mental health, study finds.",The use of AI companion apps and AI pornography are significantly linked to higher risk of depression and higher reports of loneliness; men who engage with AI romantic platforms report slightly higher levels of depression.,,https://www.psypost.org/romantic-ai-use-is-surprisingly-common-and-linked-to-poorer-mental-health-study-finds/
Sexual Romantic Harms,Counterfeit Connections: The Rise of AI Romantic Companions.,"Nearly 1 in 5 US adults (19%) have chatted with an AI romantic partner, with rates higher among young adults (31% of men under 30, 23% of women under 30).",Institute for Family Studies,https://ifstudies.org/blog/counterfeit-connections-the-rise-of-ai-romantic-companions-
Sexual Romantic Harms,"The impacts of companion AI on human relationships: risks, benefits, and design considerations.",Research cautions that addiction to companion AI apps among young users can disrupt psychological development with long-term negative consequences.,Xie & Pentina,https://link.springer.com/article/10.1007/s00146-025-02318-6
Sexual Romantic Harms,Artificial intimacy: ethical issues of AI romance.,"AI romantic relationships pose ethical issues including harmful advice leading to suicide, manipulation and exploitation by bad actors, misplaced trust in entities designed to seem caring, and disruption of human relationships.",,https://pubmed.ncbi.nlm.nih.gov/40221225/
Sexual Romantic Harms,Social and ethical impact of emotional AI advancement: the rise of pseudo-intimacy relationships.,Pseudo-intimacy relationships with AI partially satisfy human needs but raise ethical issues including privacy data security concerns and increasing tensions in the human social environment.,,https://pmc.ncbi.nlm.nih.gov/articles/PMC11573535/
Sexual Romantic Harms,2024 in Numbers.,"AI-generated CSAM reports increased 1,325% between 2023 and 2024, rising from 4,700 to over 67,000 reports to NCMEC.",NCMEC,https://www.missingkids.org/blog/2025/ncmec-releases-new-data-2024-in-numbers
Sexual Romantic Harms,Investigation Finds AI Image Generation Models Trained on Child Abuse.,Stanford researchers found that AI image generation models like Stable Diffusion were trained on datasets (LAION-5B) containing known CSAM scraped from mainstream websites.,Stanford Internet Observatory,https://cyber.fsi.stanford.edu/news/investigation-finds-ai-image-generation-models-trained-child-abuse
Sexual Romantic Harms,How AI is being abused to create child sexual abuse imagery.,"Most AI CSAM is now realistic enough to be treated as 'real' CSAM, being visually indistinguishable from real material even for trained analysts.",Internet Watch Foundation,https://www.iwf.org.uk/about-us/why-we-exist/our-research/how-ai-is-being-abused-to-create-child-sexual-abuse-imagery/
Sexual Romantic Harms,New Report on AI-Generated Child Sexual Abuse Material.,"AI CSAM risks re-traumatizing victims, normalizing child abuse, and straining law enforcement resources already processing over 100 million pieces of suspected CSAM annually.",Stanford Internet Observatory,https://cyber.fsi.stanford.edu/news/ai-csam-report
Sexual Romantic Harms,"Sensity AI, cited in multiple sources",96% of deepfake videos are sexually explicit and feature women who did not consent to the creation of the content.,"Sensity AI, cited in multiple sources",https://www.axios.com/2024/02/03/taylor-swift-deepfake-ai-image-protection
Sexual Romantic Harms,Study finds millions of children face sexual violence - AI deepfakes surge driving new harm.,"84% of teens and young adults recognize deepfake nude images as causing tangible psychological, emotional, and reputational harm including humiliation, violation, anxiety, and loss of control.",,https://www.childlight.org/newsroom/study-finds-millions-of-children-face-sexual-violence-and-ai-deepfakes-surge-is-driving-new-harm
Sexual Romantic Harms,Inside the minds of deepfake abusers.,"Four perpetrator motivations for creating sexualized deepfakes were identified: monetary gain (sextortion), curiosity, causing harm, and peer reinforcement; male perpetrators tend to downplay harms and blame technology.",Monash University Research,https://lens.monash.edu/inside-the-minds-of-deepfake-abusers-what-drives-ai-fuelled-sexual-abuse/
Sexual Romantic Harms,"Youth Perspectives on Online Safety, 2023.",Roughly 1 in 10 minors report knowing of cases where peers created synthetic non-consensual intimate images (deepfake nudes) of other children using AI tools.,Thorn,https://www.thorn.org/press-releases/report-1-in-10-minors-say-peers-have-used-ai-to-generate-nudes-of-other-kids/
