topic,title,oneline,source,url
Radicalization,The Radicalization Risks of GPT-3 and Advanced Neural Language Models,"GPT-3 demonstrates significant capability in generating extremist texts that accurately emulate interactive, informational, and influential content for radicalizing individuals into violent far-right extremist ideologies, with few-shot learning making weaponization magnitudes easier than with GPT-2.","McGuffie, K",https://arxiv.org/abs/2009.06807
Radicalization,Durably reducing conspiracy beliefs through dialogues with AI,"Short dialogues with GPT-4 Turbo reduced conspiracy belief by approximately 20%, with effects persisting for at least 2 months, even among participants with deeply entrenched beliefs; the AI's ability to tailor factual counterarguments to individual beliefs proved key to its effectiveness.","Costello, T",https://www.science.org/doi/10.1126/science.adq1814
Radicalization,How Algorithms Promote Self-Radicalization: Audit of TikTok's Algorithm Using a Reverse Engineering Method,"TikTok algorithm audit revealed that platform recommendations create radicalization pipelines, with algorithms serving as contributors to radicalism, societal violence, and polarization rather than simple personalization tools.","Shin, D",https://journals.sagepub.com/doi/10.1177/08944393231225547
Radicalization,"Algorithmic extremism? The securitization of artificial intelligence (AI) and its impact on radicalism, polarization and political violence","AI and algorithms are not merely tools for preventing malicious activity online but are active contributors to polarization, radicalism, and political violence through securitization dynamics.","Burton, J",https://www.sciencedirect.com/science/article/abs/pii/S0160791X23000672
Radicalization,Short Dialogues with AI Reduce Belief in Antisemitic Conspiracy Theories,"Brief AI chatbot dialogues reduced belief in antisemitic conspiracy theories by 16% and increased favorability toward Jews by 25% among initially unfavorable participants, with approximately 50% of effects persisting one month later.",ADL-supported study,https://www.adl.org/resources/report/short-dialogues-ai-reduce-belief-antisemitic-conspiracy-theories
Radicalization,Open-Source AI Models Easily Manipulated to Generate Antisemitic and Dangerous Content,"Open-source AI models failed to refuse prompts related to antisemitic tropes, with none refusing to answer prompts about Jews influencing global finance, and 14% generating Holocaust denial content when prompted.",ADL,https://www.adl.org/resources/press-release/open-source-ai-models-easily-manipulated-generate-antisemitic-and-dangerous
Radicalization,Generating Hate: Anti-Jewish and Anti-Israel bias in Leading Large Language Models,"All four major LLMs tested (GPT, Claude, Gemini, Llama) demonstrated antisemitism and anti-Israel bias, with Meta's open-source Llama performing worst on questions about conspiracy theories and Holocaust denial.",ADL,https://jewishinsider.com/2025/03/leading-ai-tools-demonstrate-concerning-bias-against-israel-and-jews-new-adl-study-finds/
Radicalization,Say it's only fictional: How the Far-Right is Jailbreaking AI and What Can Be Done About It,"Far-right users have established loosely connected online communities that exchange information on jailbreaking AI tools, with some users delegating AI content production to others in exchange for money.","Molas, B",https://icct.nl/publication/say-its-only-fictional-how-far-right-jailbreaking-ai-and-what-can-be-done-about-it
Radicalization,Exploitation of Generative AI by Terrorist Groups,"Unlike other AI models, ChatGPT could replicate narratives and argumentation common in violent extremist propaganda without refusing to provide information on arguments exploited by Islamic State to legitimize violence.",ICCT,https://icct.nl/publication/exploitation-generative-ai-terrorist-groups
Radicalization,Jailbroken: How Does LLM Safety Training Fail?,"LLM safety training faces a fundamental ""Competing Objectives Hypothesis"" where tension between being capable (helpful, detailed) and being safe (avoiding harm) creates inherent vulnerabilities that attackers exploit through multi-turn jailbreak techniques achieving over 80% success rates.","Wei, A",https://www.alphaxiv.org/overview/2307.02483v1
